id|video_path|caption
1|/media/wtheisen/scratch2/telegram_video/LastBP/2190/post_2190_video.mp4|Останній Блокпост 🛡Сьогоднішній ранок у прифронтовій Авдіївці. Звуки вибухів замість природного грому лунають там вже 8-й рік поспіль. @LastBP 🛡
2|/media/wtheisen/scratch2/telegram_video/LastBP/3868/post_3868_video.mp4|Останній Блокпост 🛡Вже третій літак із партією летального озброєння з США прибув в Україну. В аеропорту Бориспіль приземлився В747-412 із вантажем військової допомоги від США для Збройних сил України. На борту - 300 одиниць ПТРК Javelin.Обговорити це в нашому чаті 👉🏻 @lastbp_talk@LastBP 🛡
3|/media/wtheisen/scratch2/telegram_video/LastBP/1715/post_1715_video.mp4|Останній Блокпост 🛡З адмінкордону до окупованого Криму патріоти запустили прапор України з посланнями для жителів півострову.Акція була присвячена Дню спротиву окупації Криму.@LastBP 🛡
4|/media/wtheisen/scratch2/telegram_video/LastBP/1815/post_1815_video.mp4|"Останній Блокпост 🛡""Повна злагодженість дій"" — справжній девіз армії РФ.На одному з військових аеродромів Чити в Росії, парашутист стрибаючи з гвинтокрила зачепився за хвіст машини і повис. Пролетівши деяку відстань на великій швидкості та зробивши коло над містом гвинтокрил пішов на посадку. Самому парашутисту пощастило залишитися живим.@LastBP 🛡"
5|/media/wtheisen/scratch2/telegram_video/LastBP/1784/post_1784_video.mp4|"Останній Блокпост 🛡У бійців ""Азову"" своя версія відео ""What is Ukraine?"", яке зараз набирає популярності в мережі.@LastBP 🛡"
6|/media/wtheisen/scratch2/telegram_video/LastBP/4369/post_4369_video.mp4|Останній Блокпост 🛡Геращенко повідомляє, що на окружній міста Сновськ (стара назва – Щорс) заглох танк – тральщик окупантів.Прості українські чоловіки витягли танкістів та підпалили танк.@LastBP 🛡
7|/media/wtheisen/scratch2/telegram_video/LastBP/9176/post_9176_video.mp4|"Останній Блокпост 🛡Звільнене Рубіжне, Харківська область, жінка зі сльозами на очах зустрічає українських воїнів@LastBP 🛡| @UA_struggle 🇺🇦"
8|/media/wtheisen/scratch2/telegram_video/LastBP/6906/post_6906_video.mp4|"Останній Блокпост 🛡Армія путіна перекидає десятки ракет Іскандер по території Білорусі в бік українського кордону@LastBP 🛡| @UA_struggle 🇺🇦"
9|/media/wtheisen/scratch2/telegram_video/LastBP/5987/post_5987_video.mp4|"Останній Блокпост 🛡❗️20 хвилин тому в Маріуполі окупанти завдали артилерійського удару по житловому кварталу міста, де в цей момент працювала бригада рятувальників.Російські фашисти продовжують убивати мирних мешканців.@LastBP 🛡| @UA_struggle 🇺🇦"
10|/media/wtheisen/scratch2/telegram_video/LastBP/8581/post_8581_video.mp4|"Останній Блокпост 🛡🤡 Рашистський пропагандон розповідає про те, що був підбитий нібито український танк і про те, як русня збирається його відновитиТільки ось що робить Z-свастика на техніці, уточнити забув.Навіть фейк якісно не може зробити.@LastBP 🛡| @UA_struggle 🇺🇦"
